encoder,layer,method,param,cv_mean,point,ci_lo,ci_hi,d_vs_xllex,d_lo,d_hi,d_verdict
chinese-roberta-wwm-ext,8,f_OT,N/A,0.7012,0.748,0.5758,0.8577,-0.0307,-0.1588,0.0951,区分不开
chinese-roberta-wwm-ext,8,f_APD,N/A,0.6661,0.6933,0.4744,0.8344,-0.0404,-0.194,0.1198,区分不开
chinese-roberta-wwm-ext,8,f_PRT,N/A,0.6651,0.6932,0.4835,0.834,-0.0086,-0.1132,0.1054,区分不开
chinese-roberta-wwm-ext,9,f_SUS,10,0.6635,0.7134,0.5033,0.8499,-0.0725,-0.1704,0.0077,区分不开
chinese-roberta-wwm-ext,9,f_OT,N/A,0.6839,0.7105,0.4996,0.8463,-0.0683,-0.1717,0.0214,区分不开
chinese-roberta-wwm-ext,9,f_APD,N/A,0.6462,0.678,0.4478,0.822,-0.0557,-0.2038,0.1008,区分不开
chinese-roberta-wwm-ext,9,f_PRT,N/A,0.6739,0.6955,0.4732,0.8509,-0.0063,-0.1024,0.0983,区分不开
chinese-roberta-wwm-ext,10,f_SUS,10,0.6964,0.7304,0.5087,0.8686,-0.0555,-0.1482,0.0284,区分不开
chinese-roberta-wwm-ext,10,f_OT,N/A,0.6943,0.7247,0.4915,0.8685,-0.054,-0.1516,0.0348,区分不开
chinese-roberta-wwm-ext,10,f_APD,N/A,0.6537,0.6867,0.4505,0.8321,-0.047,-0.2007,0.0983,区分不开
chinese-roberta-wwm-ext,10,f_PRT,N/A,0.6493,0.6755,0.4323,0.8403,-0.0263,-0.1241,0.0752,区分不开
chinese-roberta-wwm-ext,11,f_SUS,200,0.7118,0.7392,0.5325,0.8691,-0.0467,-0.1247,0.0282,区分不开
chinese-roberta-wwm-ext,11,f_OT,N/A,0.7099,0.7347,0.524,0.8649,-0.044,-0.1307,0.0358,区分不开
chinese-roberta-wwm-ext,11,f_APD,N/A,0.677,0.718,0.5046,0.8469,-0.0157,-0.1557,0.1278,区分不开
chinese-roberta-wwm-ext,11,f_PRT,N/A,0.6771,0.7008,0.4766,0.8503,-0.0011,-0.0821,0.0963,区分不开
chinese-roberta-wwm-ext,12,f_SUS,1000,0.6839,0.7327,0.5436,0.8517,-0.0532,-0.1545,0.0617,区分不开
chinese-roberta-wwm-ext,12,f_OT,N/A,0.6989,0.7318,0.5316,0.8555,-0.047,-0.1362,0.0444,区分不开
chinese-roberta-wwm-ext,12,f_APD,N/A,0.6638,0.7073,0.507,0.8288,-0.0263,-0.1531,0.101,区分不开
chinese-roberta-wwm-ext,12,f_PRT,N/A,0.6302,0.6495,0.4147,0.8076,-0.0523,-0.1383,0.0338,区分不开
chinese-macbert-base,0,f_SUS,200,-0.169,-0.1305,-0.4531,0.1844,-0.9164,-1.2375,-0.5669,显著更差
chinese-macbert-base,0,f_OT,N/A,-0.1713,-0.1813,-0.5041,0.1311,-0.96,-1.2751,-0.6056,显著更差
chinese-macbert-base,0,f_APD,N/A,-0.2345,-0.2447,-0.5488,0.0653,-0.9783,-1.3028,-0.5762,显著更差
chinese-macbert-base,0,f_PRT,N/A,-0.1604,-0.1932,-0.5053,0.1343,-0.895,-1.2067,-0.5263,显著更差
chinese-macbert-base,1,f_SUS,20,0.3909,0.4504,0.1744,0.6573,-0.3355,-0.6108,-0.0622,显著更差
chinese-macbert-base,1,f_OT,N/A,0.4049,0.4505,0.1769,0.6622,-0.3283,-0.6038,-0.0435,显著更差
chinese-macbert-base,1,f_APD,N/A,0.389,0.4,0.108,0.6258,-0.3337,-0.62,-0.0217,显著更差
chinese-macbert-base,1,f_PRT,N/A,0.478,0.4749,0.166,0.7189,-0.2269,-0.4328,-0.0258,显著更差
chinese-macbert-base,2,f_SUS,500,0.5258,0.5936,0.3541,0.7547,-0.1923,-0.4215,0.0303,区分不开
chinese-macbert-base,2,f_OT,N/A,0.5516,0.6073,0.3829,0.7528,-0.1714,-0.3946,0.0537,区分不开
chinese-macbert-base,2,f_APD,N/A,0.4909,0.5414,0.2941,0.7129,-0.1923,-0.4412,0.044,区分不开
chinese-macbert-base,2,f_PRT,N/A,0.5659,0.5907,0.3343,0.7794,-0.1111,-0.2667,0.0376,区分不开
chinese-macbert-base,3,f_SUS,200,0.5957,0.6594,0.457,0.7928,-0.1265,-0.312,0.0737,区分不开
chinese-macbert-base,3,f_OT,N/A,0.6134,0.6523,0.4408,0.7855,-0.1265,-0.3199,0.0787,区分不开
chinese-macbert-base,3,f_APD,N/A,0.5581,0.5867,0.3525,0.7428,-0.147,-0.3665,0.0816,区分不开
chinese-macbert-base,3,f_PRT,N/A,0.6363,0.6649,0.4317,0.8187,-0.0369,-0.1791,0.112,区分不开
chinese-macbert-base,4,f_SUS,200,0.6503,0.7182,0.5356,0.8298,-0.0677,-0.2318,0.1155,区分不开
chinese-macbert-base,4,f_OT,N/A,0.6574,0.7087,0.5274,0.8236,-0.0701,-0.2391,0.1215,区分不开
chinese-macbert-base,4,f_APD,N/A,0.6181,0.6578,0.4388,0.7992,-0.0759,-0.2604,0.126,区分不开
chinese-macbert-base,4,f_PRT,N/A,0.58,0.5999,0.3655,0.7771,-0.1019,-0.239,0.0381,区分不开
chinese-macbert-base,5,f_SUS,200,0.6466,0.7069,0.5162,0.8316,-0.079,-0.2473,0.0993,区分不开
chinese-macbert-base,5,f_OT,N/A,0.6596,0.7093,0.5177,0.8331,-0.0694,-0.238,0.1119,区分不开
chinese-macbert-base,5,f_APD,N/A,0.6191,0.65,0.4099,0.815,-0.0837,-0.2853,0.1221,区分不开
chinese-macbert-base,5,f_PRT,N/A,0.5846,0.6001,0.3613,0.7727,-0.1017,-0.2415,0.0371,区分不开
chinese-macbert-base,6,f_SUS,100,0.61,0.6439,0.404,0.8076,-0.142,-0.3473,0.0491,区分不开
chinese-macbert-base,6,f_OT,N/A,0.6289,0.6498,0.4175,0.8082,-0.129,-0.3321,0.0649,区分不开
chinese-macbert-base,6,f_APD,N/A,0.595,0.604,0.3243,0.7916,-0.1297,-0.3563,0.0833,区分不开
chinese-macbert-base,6,f_PRT,N/A,0.5383,0.5706,0.3228,0.7503,-0.1312,-0.2684,-0.0127,显著更差
chinese-macbert-base,7,f_SUS,10,0.6425,0.6733,0.4324,0.8287,-0.1126,-0.3142,0.0781,区分不开
chinese-macbert-base,7,f_OT,N/A,0.6481,0.6753,0.4385,0.8235,-0.1035,-0.2965,0.0865,区分不开
chinese-macbert-base,7,f_APD,N/A,0.568,0.5711,0.2925,0.7646,-0.1626,-0.3889,0.0435,区分不开
chinese-macbert-base,7,f_PRT,N/A,0.6156,0.6288,0.4036,0.7805,-0.073,-0.2073,0.0586,区分不开
chinese-macbert-base,8,f_SUS,10,0.6088,0.6475,0.4033,0.8212,-0.1384,-0.3013,0.0006,区分不开
chinese-macbert-base,8,f_OT,N/A,0.6347,0.6566,0.4226,0.8115,-0.1221,-0.2845,0.0202,区分不开
chinese-macbert-base,8,f_APD,N/A,0.5763,0.5827,0.2979,0.7647,-0.151,-0.3653,0.0432,区分不开
chinese-macbert-base,8,f_PRT,N/A,0.6469,0.6621,0.4408,0.8146,-0.0397,-0.1623,0.0879,区分不开
chinese-macbert-base,9,f_SUS,200,0.5865,0.6301,0.3795,0.8033,-0.1558,-0.2899,-0.0588,显著更差
chinese-macbert-base,9,f_OT,N/A,0.6013,0.6358,0.3861,0.8037,-0.1429,-0.2786,-0.039,显著更差
chinese-macbert-base,9,f_APD,N/A,0.5299,0.5458,0.2278,0.7399,-0.1879,-0.394,-0.0207,显著更差
chinese-macbert-base,9,f_PRT,N/A,0.5759,0.5538,0.2808,0.7518,-0.148,-0.2843,-0.0147,显著更差
chinese-macbert-base,10,f_SUS,10,0.5441,0.5816,0.3135,0.7698,-0.2043,-0.3694,-0.0629,显著更差
chinese-macbert-base,10,f_OT,N/A,0.5507,0.5747,0.3078,0.7635,-0.2041,-0.3657,-0.057,显著更差
chinese-macbert-base,10,f_APD,N/A,0.4603,0.4737,0.1693,0.7081,-0.26,-0.5003,-0.0534,显著更差
chinese-macbert-base,10,f_PRT,N/A,0.489,0.454,0.163,0.6736,-0.2478,-0.4156,-0.0827,显著更差
chinese-macbert-base,11,f_SUS,50,0.6218,0.655,0.3997,0.8225,-0.1309,-0.2571,-0.0313,显著更差
chinese-macbert-base,11,f_OT,N/A,0.6365,0.6561,0.4028,0.8192,-0.1227,-0.25,-0.0191,显著更差
chinese-macbert-base,11,f_APD,N/A,0.602,0.6123,0.327,0.807,-0.1214,-0.3043,0.0322,区分不开
chinese-macbert-base,11,f_PRT,N/A,0.5984,0.5862,0.3141,0.7733,-0.1156,-0.2355,0.0049,区分不开
chinese-macbert-base,12,f_SUS,200,0.5864,0.6348,0.3663,0.801,-0.1511,-0.2916,-0.0423,显著更差
chinese-macbert-base,12,f_OT,N/A,0.6027,0.6256,0.3602,0.7972,-0.1531,-0.3039,-0.0262,显著更差
chinese-macbert-base,12,f_APD,N/A,0.5992,0.6084,0.3276,0.8023,-0.1252,-0.3056,0.018,区分不开
chinese-macbert-base,12,f_PRT,N/A,0.574,0.5594,0.2874,0.7585,-0.1424,-0.2701,-0.0147,显著更差
xlm-roberta-large,0,f_SUS,50,0.0632,0.1225,-0.1906,0.4222,-0.6634,-0.9963,-0.2933,显著更差
